"","x"
"1",0.490203068968641
"2",0.147429503743763
"3",0.120445599459042
"4",0.380774389086225
"5",0.0873557094637161
"6",0.219540784089865
"7",0.103753985835662
"8",0.0575542564495778
"9",0.114664078613954
"10",0.212860495892728
"11",0.170790333492228
"12",0.141783440121633
"13",0.155249729482374
"14",0.0673780638474451
"15",0.261746806297597
"16",0.105171493237849
"17",0.0729740072287471
"18",0.318668464270758
"19",0.101259341499822
"20",0.193870302620258
"21",0.122218741233918
"22",0.231070098091869
"23",0.0987373715832133
"24",0.116242973385658
"25",0.0302681110340922
"26",0.0546490641434835
"27",0.0789682304074171
"28",0.100410613002726
"29",0.0706571965091635
"30",0.112824990530194
"31",0.202204647576464
"32",0.156559853330485
"33",0.118991225332425
"34",0.125375788988178
"35",0.178040428968538
"36",0.0976965758707425
"37",0.0911600416724114
"38",0.113165854803718
"39",0.210825387083668
"40",0.0704140887978936
"41",0.202282564703388
"42",0.144047225662455
"43",0.110993163283534
"44",0.140704222338553
"45",0.0464045057650078
