"","parameter","estimate","ESS"
"1","mu","1.76 (1.68-1.81)","1.37"
"2","muShort","1.61 (1.51-1.69)","1.93"
"3","sigma","0.354 (0.324-0.392)","1.87"
"4","sigma2","0.122 (0.111-0.127)","8"
"5","error","1.06 (1.03-1.1)","8"
"6","tau2","0.0505 (0.049-0.0586)","1.27"
"7","wane","0.992 (0.958-0.997)","2.26"
"8","sigmadrop","0.616 (0.586-0.666)","1.87"
"9","sigma2drop","0.199 (0.17-0.207)","8"
"10","wane_yr","1.59 (1.47-1.67)","2.26"
"11","errorCorrect1","0.604 (0.588-0.613)","8"
"12","errorCorrect2","0.913 (0.902-0.919)","8"
