"","V1","V2","V3"
"1","mu","1.37 (1.19-1.65)","2.08"
"2","muShort","1.22 (1.08-1.64)","1.98"
"3","sigma","0.217 (0.202-0.235)","3.71"
"4","sigma2","0.106 (0.0929-0.116)","3.34"
"5","error","1.34 (1.27-1.46)","3.26"
"6","tau2","0.0453 (0.0404-0.0563)","2.22"
"7","wane","0.634 (0.466-0.823)","1.19"
"8","sigmadrop","0.307 (0.246-0.362)","3.71"
"9","sigma2drop","0.136 (0.121-0.157)","3.34"
"10","wane_yr","0.78 (0.524-1.35)","1.19"
"11","errorCorrect1","0.514 (0.483-0.534)","3.26"
"12","errorCorrect2","0.837 (0.805-0.856)","3.26"
