"inf_years","x_coord","y_coord"
1968,333.83,254.921722063961
1969,334.658409090909,254.065258367484
1970,335.486818181818,253.250964472377
1971,336.315227272727,252.49067262909
1972,337.143636363636,251.7810516666
1973,337.972045454545,251.118643154907
1974,338.800454545454,250.499988664007
1975,339.628863636364,249.921864247839
1976,340.457272727273,249.414304836124
1977,341.285681818182,249.074749785469
1978,342.114090909091,248.996582324819
1979,342.9425,249.181716000777
1980,343.770909090909,249.590574282887
1981,344.599318181818,250.183374130278
1982,345.427727272727,250.92033250208
1983,346.256136363636,251.761666357422
1984,347.084545454545,252.665372864866
1985,347.912954545455,253.55726950805
1986,348.741363636364,254.338920667658
1987,349.569772727273,254.91129609892
1988,350.398181818182,255.168882173542
1989,351.226590909091,254.970037009341
1990,352.055,254.385150191107
1991,352.883409090909,253.535421587172
1992,353.711818181818,252.51417257187
1993,354.540227272727,251.476741786377
1994,355.368636363636,250.505658332767
1995,356.197045454545,249.651524534688
1996,357.025454545455,248.95752824514
1997,357.853863636363,248.466847132187
1998,358.682272727273,248.222716081334
1999,359.510681818182,248.287186688713
2000,360.339090909091,248.792665077447
2001,361.1675,249.767128351399
2002,361.995909090909,250.98079256175
2003,362.824318181818,251.969402244482
2004,363.652727272727,252.426483614042
2005,364.481136363636,252.420763977513
2006,365.309545454545,252.145576671869
2007,366.137954545454,251.756907609759
2008,366.966363636364,251.299327191316
2009,367.794772727273,250.786665789971
2010,368.623181818182,250.268102228482
2011,369.451590909091,249.743749990033
2012,370.28,249.120275993058
