"year","AR"
7872,0.450471698113208
7873,0.0211764705882353
7874,0.0440835266821346
7875,0.0231481481481481
7876,0.0390804597701149
7877,0.0274599542334096
7878,0.0340136054421769
7879,0.0292792792792793
7880,0.0448430493273543
7881,0.0334075723830735
7882,0.0288248337028825
7883,0.0328947368421053
7884,0.0239651416122004
7885,0.0649350649350649
7886,0.0279569892473118
7887,0.0578158458244111
7888,0.0382165605095541
7889,0.0210084033613445
7890,0.0313152400835073
7891,0.0207900207900208
7892,0.0349794238683128
7893,0.055327868852459
7894,0.054989816700611
7895,0.100200400801603
7896,0.0276679841897233
7897,0.0331384015594542
7898,0.0406976744186047
7899,0.0652591170825336
7900,0.0342857142857143
7901,0.0284629981024668
7902,0.0340264650283554
7903,0.0393996247654784
7904,0.041044776119403
7905,0.0352504638218924
7906,0.0329067641681901
7907,0.0182149362477231
7908,0.0181488203266788
7909,0.0325497287522604
7910,0.0125673249551167
7911,0.0232558139534884
7912,0.0391459074733096
7913,0.0352733686067019
7914,0.0210896309314587
7915,0.0663176265270506
7916,0.0311958405545927
7917,0.0395189003436426
7918,0.0341880341880342
7919,0.100340136054422
7920,0.0152284263959391
7921,0.0236087689713322
7922,0.0518394648829431
7923,0.0333889816360601
7924,0.0282392026578073
7925,0.0378912685337726
7926,0.00977198697068404
7927,0.0276422764227642
7928,0.0388349514563107
7929,0.0498392282958199
7930,0.0286624203821656
7931,0.0441640378548896
7932,0.0220125786163522
7933,0.0265625
7934,0.031201248049922
7935,0.0511627906976744
7936,0.0631741140215717
7937,0.0581039755351682
7938,0.0516717325227964
7939,0.0303030303030303
7940,0.0468277945619335
7941,0.0193740685543964
7942,0.0385185185185185
7943,0.0515463917525773
7944,0.0102790014684288
7945,0.0524017467248908
7946,0.0303030303030303
7947,0.0300859598853868
7948,0.0372492836676218
7949,0.0658082975679542
7950,0.0269121813031161
7951,0.0589887640449438
7952,0.0181058495821727
7953,0.00552486187845304
7954,0.0165289256198347
7955,0.0411522633744856
7956,0.0617283950617284
7957,0.0300136425648022
7958,0.0296896086369771
7959,0.0415549597855228
7960,0.0518617021276596
7961,0.0172413793103448
7962,0.0672823218997362
7963,0.050131926121372
7964,0.0262123197903014
7965,0.0509138381201044
7966,0.025974025974026
7967,0.00903225806451613
7968,0.0127877237851662
7969,0.0280970625798212
7970,0.0429292929292929
7971,0.0276381909547739
7972,0.03125
7973,0.0186104218362283
7974,0.0110565110565111
7975,0.0110024449877751
7976,0.0292682926829268
7977,0.0121359223300971
7978,0.0652962515114873
7979,0.0180288461538462
7980,0.0491606714628297
7981,0.03584229390681
7982,0.0190703218116806
7983,0.0533175355450237
7984,0.0354191263282172
7985,0.047953216374269
7986,0.0488372093023256
7987,0.0718424101969873
7988,0.0219399538106236
7989,0.0288350634371396
7990,0.0388571428571429
7991,0.0352673492605233
7992,0.0282485875706215
7993,0.0123873873873874
7994,0.0571108622620381
7995,0.09375
7996,0.0144284128745838
7997,0.0554323725055432
7998,0.0386740331491713
7999,0.0363036303630363
8000,0.0645514223194748
8001,0.0489662676822633
8002,0.027027027027027
8003,0.0236559139784946
8004,0.0556149732620321
8005,0.0170212765957447
8006,0.0488322717622081
8007,0.0369978858350951
8008,0.0221052631578947
8009,0.0471698113207547
8010,0.0354906054279749
8011,0.0249221183800623
8012,0.025879917184265
8013,0.0123839009287926
8014,0.0401647785787848
8015,0.0265848670756646
8016,0.0305810397553517
8017,0.0416243654822335
8018,0.0293819655521783
8019,0.0643863179074447
8020,0.045
8021,0.032
8022,0.031
8023,0.02
8024,0.023
8025,0.024
8026,0.017
8027,0.027
8028,0.021
8029,0.048
8030,0.02
8031,0.036
8032,0.022
8033,0.013
8034,0.043
8035,0.025
8036,0.046
8037,0.036
8038,0.023
8039,0.064
8040,0.052
8041,0.02
8042,0.084
8043,0.038
8044,0.052
8045,0.026
8046,0.023
8047,0.038
8048,0.023
8049,0.042
8050,0.02
8051,0.037
8052,0.045
8053,0.033
8054,0.058
8055,0.021
8056,0.061
8057,0.062
8058,0.032
8059,0.025
8060,0.012
