"year","AR"
1968,0.553191489361702
1969,0.06
1970,0.0576923076923077
1971,0.320754716981132
1972,0.163636363636364
1973,0.254237288135593
1974,0.19672131147541
1975,0.0634920634920635
1976,0.078125
1977,0.107692307692308
1978,0.235294117647059
1979,0.183098591549296
1980,0.319444444444444
1981,0.0833333333333333
1982,0.152777777777778
1983,0.136986301369863
1984,0.175675675675676
1985,0.0810810810810811
1986,0.0933333333333333
1987,0.0909090909090909
1988,0.205128205128205
1989,0.0512820512820513
1990,0.128205128205128
1991,0.0625
1992,0.209876543209877
1993,0.168674698795181
1994,0.0116279069767442
1995,0.122222222222222
1996,0.347826086956522
1997,0.0652173913043478
1998,0.16304347826087
1999,0.258064516129032
2000,0.0729166666666667
2001,0.0520833333333333
2002,0.154639175257732
2003,0.171717171717172
2004,0.121212121212121
2005,0.13
2006,0.09
2007,0.17
2008,0.09
2009,0.11
2010,0.09
2011,0.19
2012,0.05
2013,0.26
2014,0.12
2015,0.24
