"year","AR"
1968,0.149509803921569
1969,0.149643705463183
1970,0.150115473441109
1971,0.150900900900901
1972,0.150326797385621
1973,0.150423728813559
1974,0.151020408163265
1975,0.15
1976,0.15
1977,0.15
1978,0.15
1979,0.15
1980,0.15
1981,0.15
1982,0.15
1983,0.15
1984,0.15
1985,0.15
1986,0.15
1987,0.15
1988,0.15
1989,0.15
1990,0.15
1991,0.15
1992,0.15
1993,0.15
1994,0.15
1995,0.15
1996,0.15
1997,0.15
1998,0.15
1999,0.15
2000,0.15
2001,0.15
2002,0.15
2003,0.15
2004,0.15
2005,0.15
2006,0.15
2007,0.15
2008,0.15
2009,0.15
2010,0.15
2011,0.15
2012,0.15
2013,0.15
2014,0.15
2015,0.15
