"year","AR"
1968,0
1969,0.142857142857143
1970,0
1971,0.152542372881356
1972,0
1973,0.145161290322581
1974,0
1975,0.142857142857143
1976,0
1977,0.149253731343284
1978,0
1979,0.149253731343284
1980,0
1981,0.150684931506849
1982,0
1983,0.144736842105263
1984,0
1985,0.151898734177215
1986,0
1987,0.152941176470588
1988,0
1989,0.146067415730337
1990,0
1991,0.155555555555556
1992,0
1993,0.152173913043478
1994,0
1995,0.148936170212766
1996,0
1997,0.145833333333333
1998,0
1999,0.15
2000,0
2001,0.148514851485149
2002,0
2003,0.145631067961165
2004,0
2005,0.150943396226415
2006,0
2007,0.146788990825688
2008,0
2009,0.151785714285714
2010,0
2011,0.147540983606557
2012,0
2013,0.152
2014,0
2015,0.152
