"year","AR"
1968,0
1969,0.25
1970,0
1971,0.254237288135593
1972,0
1973,0.258064516129032
1974,0
1975,0.253968253968254
1976,0
1977,0.253731343283582
1978,0
1979,0.253731343283582
1980,0
1981,0.246575342465753
1982,0
1983,0.25
1984,0
1985,0.253164556962025
1986,0
1987,0.247058823529412
1988,0
1989,0.247191011235955
1990,0
1991,0.244444444444444
1992,0
1993,0.25
1994,0
1995,0.25531914893617
1996,0
1997,0.25
1998,0
1999,0.25
2000,0
2001,0.247524752475248
2002,0
2003,0.252427184466019
2004,0
2005,0.245283018867925
2006,0
2007,0.247706422018349
2008,0
2009,0.25
2010,0
2011,0.245901639344262
2012,0
2013,0.248
2014,0
2015,0.248
