year,week,n.samps,A.H1N1,A.H3N2,A.H1N1pdm,B,GP.per.1000,date.wk.start,date.wk.end
1998,1,303,1,31,0,0,84.8,29/12/1997,4/1/1998
1998,2,681,6,67,0,0,53,5/1/1998,11/1/1998
1998,3,488,4,95,0,2,31.7,12/1/1998,18/1/1998
1998,4,423,5,129,0,0,35.4,19/1/1998,25/1/1998
1998,5,273,7,120,0,0,28.2,26/1/1998,1/2/1998
1998,6,404,2,163,0,0,34.8,2/2/1998,8/2/1998
1998,7,464,4,223,0,2,41.2,9/2/1998,15/2/1998
1998,8,568,5,288,0,1,48,16/2/1998,22/2/1998
1998,9,764,1,427,0,2,62.7,23/2/1998,1/3/1998
1998,10,693,4,371,0,1,73.5,2/3/1998,8/3/1998
1998,11,659,2,294,0,3,63.9,9/3/1998,15/3/1998
1998,12,510,3,212,0,4,54.7,16/3/1998,22/3/1998
1998,13,441,0,129,0,5,58.4,23/3/1998,29/3/1998
1998,14,492,0,113,0,2,45.1,30/3/1998,5/4/1998
1998,15,319,1,47,0,3,43.3,6/4/1998,12/4/1998
1998,16,283,0,29,0,1,38.4,13/4/1998,19/4/1998
1998,17,384,0,18,0,4,30.7,20/4/1998,26/4/1998
1998,18,305,0,24,0,3,33.3,27/4/1998,3/5/1998
1998,19,308,0,35,0,3,38.9,4/5/1998,10/5/1998
1998,20,344,0,34,0,3,48.6,11/5/1998,17/5/1998
1998,21,323,0,34,0,5,39.1,18/5/1998,24/5/1998
1998,22,344,0,51,0,1,38.6,25/5/1998,31/5/1998
1998,23,339,0,41,0,5,42.9,1/6/1998,7/6/1998
1998,24,336,0,31,0,5,31.6,8/6/1998,14/6/1998
1998,25,388,0,51,0,8,37.7,15/6/1998,21/6/1998
1998,26,447,1,55,0,15,37.2,22/6/1998,28/6/1998
1998,27,382,0,61,0,9,31.6,29/6/1998,5/7/1998
1998,28,437,0,58,0,14,33.7,6/7/1998,12/7/1998
1998,29,412,0,67,0,21,40.5,13/7/1998,19/7/1998
1998,30,419,0,50,0,14,33.1,20/7/1998,26/7/1998
1998,31,476,0,53,0,13,54,27/7/1998,2/8/1998
1998,32,348,0,31,0,19,48.7,3/8/1998,9/8/1998
1998,33,304,0,17,0,14,43.5,10/8/1998,16/8/1998
1998,34,282,0,15,0,5,41.2,17/8/1998,23/8/1998
1998,35,317,0,23,0,13,37.6,24/8/1998,30/8/1998
1998,36,298,0,12,0,4,46.1,31/8/1998,6/9/1998
1998,37,306,0,10,0,3,45.5,7/9/1998,13/9/1998
1998,38,340,0,7,0,4,48,14/9/1998,20/9/1998
1998,39,338,0,4,0,1,46.7,21/9/1998,27/9/1998
1998,40,254,1,5,0,1,42.8,28/9/1998,4/10/1998
1998,41,262,0,1,0,2,37.2,5/10/1998,11/10/1998
1998,42,213,0,1,0,1,39.3,12/10/1998,18/10/1998
1998,43,230,0,2,0,1,41,19/10/1998,25/10/1998
1998,44,213,0,0,0,0,35.9,26/10/1998,1/11/1998
1998,45,213,0,0,0,1,42.7,2/11/1998,8/11/1998
1998,46,237,0,2,0,0,47.9,9/11/1998,15/11/1998
1998,47,230,1,1,0,0,47.3,16/11/1998,22/11/1998
1998,48,214,0,1,0,1,45.4,23/11/1998,29/11/1998
1998,49,174,0,3,0,1,38.9,30/11/1998,6/12/1998
1998,50,261,0,4,0,0,45.1,7/12/1998,13/12/1998
1998,51,236,0,1,0,1,44.5,14/12/1998,20/12/1998
1998,52,169,0,3,0,0,40.3,21/12/1998,27/12/1998
1999,1,232,0,17,0,1,45.5,28/12/1998,3/1/1999
1999,2,282,0,36,0,1,56,4/1/1999,10/1/1999
1999,3,328,1,59,0,2,62.2,11/1/1999,17/1/1999
1999,4,514,0,136,0,4,103.9,18/1/1999,24/1/1999
1999,5,662,0,225,0,4,123,25/1/1999,31/1/1999
1999,6,683,0,224,0,6,106.5,1/2/1999,7/2/1999
1999,7,578,0,197,0,3,97.2,8/2/1999,14/2/1999
1999,8,289,0,71,0,4,116.5,15/2/1999,21/2/1999
1999,9,374,0,77,0,5,54,22/2/1999,28/2/1999
1999,10,288,0,20,0,3,47.4,1/3/1999,7/3/1999
1999,11,264,0,15,0,8,43.6,8/3/1999,14/3/1999
1999,12,272,0,14,0,11,45.8,15/3/1999,21/3/1999
1999,13,275,1,16,0,20,48.6,22/3/1999,28/3/1999
1999,14,280,2,13,0,19,38.8,29/3/1999,4/4/1999
1999,15,284,1,7,0,12,41.7,5/4/1999,11/4/1999
1999,16,362,0,27,0,19,48.4,12/4/1999,18/4/1999
1999,17,318,0,6,0,19,50.4,19/4/1999,25/4/1999
1999,18,295,0,13,0,17,45.6,26/4/1999,2/5/1999
1999,19,346,0,11,0,19,41.9,3/5/1999,9/5/1999
1999,20,371,0,3,0,11,45.5,10/5/1999,16/5/1999
1999,21,344,0,12,0,6,53.9,17/5/1999,23/5/1999
1999,22,405,0,9,0,12,52.6,24/5/1999,30/5/1999
1999,23,409,0,17,0,14,53.7,31/5/1999,6/6/1999
1999,24,371,0,5,0,8,48.6,7/6/1999,13/6/1999
1999,25,313,0,5,0,7,48.4,14/6/1999,20/6/1999
1999,26,424,0,23,0,11,50,21/6/1999,27/6/1999
1999,27,424,0,20,0,10,54.5,28/6/1999,4/7/1999
1999,28,359,0,29,0,3,56.4,5/7/1999,11/7/1999
1999,29,404,0,61,0,6,50.8,12/7/1999,18/7/1999
1999,30,417,0,72,0,7,54.2,19/7/1999,25/7/1999
1999,31,405,0,57,0,8,43.5,26/7/1999,1/8/1999
1999,32,379,0,50,0,4,51.8,2/8/1999,8/8/1999
1999,33,317,0,43,0,9,49.2,9/8/1999,15/8/1999
1999,34,329,0,35,0,15,45.8,16/8/1999,22/8/1999
1999,35,281,0,16,0,8,44.4,23/8/1999,29/8/1999
1999,36,280,0,20,0,12,54.9,30/8/1999,5/9/1999
1999,37,318,0,26,0,13,53.5,6/9/1999,12/9/1999
1999,38,288,0,25,0,13,50,13/9/1999,19/9/1999
1999,39,280,0,9,0,14,51,20/9/1999,26/9/1999
1999,40,234,0,9,0,10,46.5,27/9/1999,3/10/1999
1999,41,243,0,2,0,9,52.7,4/10/1999,10/10/1999
1999,42,248,0,8,0,3,47.5,11/10/1999,17/10/1999
1999,43,211,0,2,0,6,53.2,18/10/1999,24/10/1999
1999,44,214,0,0,0,5,45.7,25/10/1999,31/10/1999
1999,45,212,0,0,0,3,53.2,1/11/1999,7/11/1999
1999,46,225,0,2,0,6,48.7,8/11/1999,14/11/1999
1999,47,215,0,2,0,2,45.2,15/11/1999,21/11/1999
1999,48,240,0,0,0,2,48.4,22/11/1999,28/11/1999
1999,49,196,1,0,0,2,49.3,29/11/1999,5/12/1999
1999,50,235,0,0,0,2,57.4,6/12/1999,12/12/1999
1999,51,194,1,3,0,2,51.3,13/12/1999,19/12/1999
1999,52,163,0,4,0,3,50,20/12/1999,26/12/1999
2000,1,138,2,5,0,3,52.4,27/12/1999,2/1/2000
2000,2,239,3,26,0,8,63.2,3/1/2000,9/1/2000
2000,3,250,15,36,0,6,73.2,10/1/2000,16/1/2000
2000,4,260,28,35,0,8,84,17/1/2000,23/1/2000
2000,5,297,45,39,0,14,89,24/1/2000,30/1/2000
2000,6,290,49,73,0,16,84,31/1/2000,6/2/2000
2000,7,379,61,80,0,29,73.1,7/2/2000,13/2/2000
2000,8,363,45,46,0,32,79.2,14/2/2000,20/2/2000
2000,9,395,46,44,0,61,82.5,21/2/2000,27/2/2000
2000,10,349,45,36,0,53,81.3,28/2/2000,5/3/2000
2000,11,433,45,48,0,63,75,6/3/2000,12/3/2000
2000,12,396,29,24,0,55,73.7,13/3/2000,19/3/2000
