samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,1.13184158863105,2.18017233779557,0,0,0.025,0.0978693144737784,0,0.136413778917414,0.0122949392575182,1,8,1.49394445639114,0,1,10,0,-15498.6982207317,-14889.7843568159,-608.913863915795
11,0.8760144572265,2.18017233779557,0,0,0.025,0.0978693144737784,0,0.129571279243293,0.0158868451752849,1,8,1.49394445639114,0,1,10,0,-14138.3521842107,-13519.0748366117,-619.277347599041
21,1.21605133752773,2.18017233779557,0,0,0.025,0.0978693144737784,0,0.129571279243293,0.0537875963020651,1,8,1.49394445639114,0,1,10,0,-13228.9676452524,-12573.9549649125,-655.012680339873
31,1.21605133752773,2.18017233779557,0,0,0.025,0.0978693144737784,0,0.129571279243293,0.0537875963020651,1,8,1.49394445639114,0,1,10,0,-12888.9681128381,-12190.2995840561,-698.668528781987
41,1.21605133752773,2.06655667713931,0,0,0.025,0.0655846252645371,0,0.129571279243293,0.0537875963020651,1,8,1.49394445639114,0,1,10,0,-12472.9721487479,-11770.1453090989,-702.82683964902
51,1.21605133752773,2.06655667713931,0,0,0.025,0.0612893007086066,0,0.129571279243293,0.0537875963020651,1,8,1.49394445639114,0,1,10,0,-12212.5638148239,-11521.6989548009,-690.864860022927
61,1.21605133752773,1.94608349618161,0,0,0.025,0.0612893007086066,0,0.129571279243293,0.0537875963020651,1,8,1.49394445639114,0,1,10,0,-11752.1587542352,-11053.1768316775,-698.98192255762
71,1.21605133752773,1.94608349618161,0,0,0.025,0.0612893007086066,0,0.129571279243293,0.049474338104637,1,8,1.49394445639114,0,1,10,0,-11650.3808427886,-10936.7739348602,-713.606907928387
81,1.21605133752773,1.94608349618161,0,0,0.025,0.0612893007086066,0,0.129571279243293,0.049474338104637,1,8,1.49394445639114,0,1,10,0,-11458.1359914549,-10743.7802627874,-714.355728667478
91,1.21605133752773,1.94608349618161,0,0,0.025,0.0612893007086066,0,0.129571279243293,0.049474338104637,1,8,1.49394445639114,0,1,10,0,-11330.5389007955,-10601.4964350499,-729.042465745687
101,1.21605133752773,1.94608349618161,0,0,0.025,0.0612893007086066,0,0.129571279243293,0.049474338104637,1,8,1.49394445639114,0,1,10,0,-11296.0353747127,-10569.3361623029,-726.699212409856
111,1.21605133752773,1.94608349618161,0,0,0.025,0.0612893007086066,0,0.128054063682269,0.049474338104637,1,8,1.49394445639114,0,1,10,0,-11245.3911657793,-10522.7869744334,-722.60419134583
121,1.21605133752773,1.94608349618161,0,0,0.025,0.0612893007086066,0,0.128054063682269,0.049474338104637,1,8,1.49394445639114,0,1,10,0,-11161.0046707629,-10445.5785622198,-715.4261085431
131,1.21605133752773,1.94608349618161,0,0,0.025,0.0612893007086066,0,0.128054063682269,0.049474338104637,1,8,1.49394445639114,0,1,10,0,-11014.6231416425,-10289.8376789402,-724.785462702286
141,1.21605133752773,1.94608349618161,0,0,0.025,0.0612893007086066,0,0.128054063682269,0.049474338104637,1,8,1.48692192004057,0,1,10,0,-11000.5429171883,-10238.9253806322,-761.61753655613
151,1.21605133752773,1.94608349618161,0,0,0.025,0.0612893007086066,0,0.128054063682269,0.049474338104637,1,8,1.48692192004057,0,1,10,0,-10978.5136869204,-10191.5563455431,-786.957341377277
161,1.21605133752773,1.73922582668228,0,0,0.025,0.0612893007086066,0,0.128054063682269,0.049474338104637,1,8,1.48692192004057,0,1,10,0,-10895.6581263616,-10110.9192264008,-784.738899960735
171,1.21605133752773,1.73922582668228,0,0,0.025,0.0560936334443921,0,0.128054063682269,0.049474338104637,1,8,1.48692192004057,0,1,10,0,-10899.0054019174,-10110.5795327237,-788.425869193739
181,1.21605133752773,1.73922582668228,0,0,0.025,0.0560936334443921,0,0.128054063682269,0.049474338104637,1,8,1.28148736386778,0,1,10,0,-10749.1544686041,-9971.9954091238,-777.159059480245
191,1.21605133752773,1.73922582668228,0,0,0.025,0.0560936334443921,0,0.128054063682269,0.049474338104637,1,8,1.28148736386778,0,1,10,0,-10712.6910939548,-9939.54634851771,-773.144745437139
201,1.21605133752773,1.63960157289103,0,0,0.025,0.0560936334443921,0,0.128054063682269,0.049474338104637,1,8,1.28148736386778,0,1,10,0,-10698.8684812442,-9921.28998330132,-777.578497942885
211,1.21605133752773,1.61318489158118,0,0,0.025,0.0560936334443921,0,0.11324088099741,0.049474338104637,1,8,1.28148736386778,0,1,10,0,-10669.7162452585,-9883.0149140884,-786.701331170097
221,1.21605133752773,1.61318489158118,0,0,0.025,0.0560936334443921,0,0.11324088099741,0.049474338104637,1,8,1.28148736386778,0,1,10,0,-10642.0781890895,-9854.88961388396,-787.188575205522
231,1.21605133752773,1.61318489158118,0,0,0.025,0.0560936334443921,0,0.115243773481507,0.049474338104637,1,8,1.28148736386778,0,1,10,0,-10632.715516083,-9835.88835197383,-796.827164109196
241,1.21605133752773,1.61318489158118,0,0,0.025,0.0560936334443921,0,0.114146893132141,0.0534399257682973,1,8,1.28148736386778,0,1,10,0,-10591.856850542,-9790.10939988609,-801.747450655939
251,1.21605133752773,1.61318489158118,0,0,0.025,0.0560936334443921,0,0.114146893132141,0.0534399257682973,1,8,1.28148736386778,0,1,10,0,-10546.5439126465,-9742.99540236103,-803.548510285489
261,1.21605133752773,1.61318489158118,0,0,0.025,0.0560936334443921,0,0.114146893132141,0.0534399257682973,1,8,1.28148736386778,0,1,10,0,-10511.6526146808,-9714.37236356144,-797.280251119366
271,1.21605133752773,1.61318489158118,0,0,0.025,0.0560936334443921,0,0.114146893132141,0.0534399257682973,1,8,1.28148736386778,0,1,10,0,-10508.4629990049,-9697.05304193417,-811.409957070759
281,1.21605133752773,1.5540463775959,0,0,0.025,0.0560936334443921,0,0.114146893132141,0.0534399257682973,1,8,1.26463236567647,0,1,10,0,-10463.7979680127,-9652.63790136256,-811.160066650159
291,1.21605133752773,1.5540463775959,0,0,0.025,0.0560936334443921,0,0.114146893132141,0.0534791141710374,1,8,1.26463236567647,0,1,10,0,-10467.7262759365,-9648.74754575889,-818.978730177567
301,1.21605133752773,1.5540463775959,0,0,0.025,0.0560936334443921,0,0.114146893132141,0.0534791141710374,1,8,1.26463236567647,0,1,10,0,-10462.4061018163,-9643.81411493154,-818.591986884801
311,1.21605133752773,1.5540463775959,0,0,0.025,0.0560936334443921,0,0.114146893132141,0.0534791141710374,1,8,1.26463236567647,0,1,10,0,-10445.7789038363,-9625.33857625936,-820.440327576935
321,1.21605133752773,1.5540463775959,0,0,0.025,0.0560936334443921,0,0.120324042026745,0.0534791141710374,1,8,1.26463236567647,0,1,10,0,-10426.7452505443,-9608.59835234329,-818.146898201005
331,1.21605133752773,1.5540463775959,0,0,0.025,0.0560936334443921,0,0.118724303155824,0.0534791141710374,1,8,1.26463236567647,0,1,10,0,-10425.4407035883,-9597.35782919059,-828.082874397753
341,1.21605133752773,1.5540463775959,0,0,0.025,0.0560936334443921,0,0.118724303155824,0.0534791141710374,1,8,1.26463236567647,0,1,10,0,-10412.4775556816,-9587.58373088786,-824.893824793717
351,1.21605133752773,1.53035036253577,0,0,0.025,0.0560936334443921,0,0.118724303155824,0.0617207368830949,1,8,1.26463236567647,0,1,10,0,-10415.7719720045,-9575.99035069344,-839.781621311029
361,1.21605133752773,1.53035036253577,0,0,0.025,0.0560936334443921,0,0.118724303155824,0.0617207368830949,1,8,1.26463236567647,0,1,10,0,-10416.9814087562,-9546.33783639871,-870.643572357531
371,1.2271659141524,1.50654442570201,0,0,0.025,0.0560936334443921,0,0.118724303155824,0.0617207368830949,1,8,1.26463236567647,0,1,10,0,-10410.3887914985,-9531.92154440241,-878.467247096118
381,1.2271659141524,1.50654442570201,0,0,0.025,0.0560936334443921,0,0.119961286860506,0.0617207368830949,1,8,1.26463236567647,0,1,10,0,-10415.3173104164,-9522.63013110724,-892.687179309133
391,1.2271659141524,1.50654442570201,0,0,0.025,0.0560936334443921,0,0.119961286860506,0.0617207368830949,1,8,1.26463236567647,0,1,10,0,-10392.2829046398,-9492.63938084901,-899.64352379079
401,1.26022367079894,1.50654442570201,0,0,0.025,0.0560936334443921,0,0.119961286860506,0.0685705860663862,1,8,1.26463236567647,0,1,10,0,-10346.4700995147,-9440.85430859935,-905.615790915356
411,1.26022367079894,1.50654442570201,0,0,0.025,0.0560936334443921,0,0.119961286860506,0.0685705860663862,1,8,1.26463236567647,0,1,10,0,-10339.0808837647,-9426.12989452034,-912.950989244344
421,1.26022367079894,1.50654442570201,0,0,0.025,0.0560936334443921,0,0.119961286860506,0.0695881214538425,1,8,1.26463236567647,0,1,10,0,-10326.6162277479,-9409.72340840094,-916.892819346916
431,1.26022367079894,1.50654442570201,0,0,0.025,0.0560936334443921,0,0.119961286860506,0.0695881214538425,1,8,1.26463236567647,0,1,10,0,-10303.7199969054,-9388.36933999521,-915.350656910189
441,1.26022367079894,1.49732930502959,0,0,0.025,0.0560936334443921,0,0.119961286860506,0.0695881214538425,1,8,1.26463236567647,0,1,10,0,-10312.616048097,-9381.77830033755,-930.837747759443
451,1.26022367079894,1.4447984363693,0,0,0.025,0.0560936334443921,0,0.119961286860506,0.0695881214538425,1,8,1.26463236567647,0,1,10,0,-10313.9558563735,-9386.69561123015,-927.260245143314
461,1.26022367079894,1.43597505997932,0,0,0.025,0.0560936334443921,0,0.119961286860506,0.0695881214538425,1,8,1.26463236567647,0,1,10,0,-10302.1624312512,-9361.98490956721,-940.177521684024
471,1.26022367079894,1.43597505997932,0,0,0.025,0.0560936334443921,0,0.119961286860506,0.0695881214538425,1,8,1.26463236567647,0,1,10,0,-10309.2846080065,-9361.67065003569,-947.613957970765
481,1.26022367079894,1.43597505997932,0,0,0.025,0.0560936334443921,0,0.119961286860506,0.0695881214538425,1,8,1.07078739365651,0,1,10,0,-10227.7897883747,-9283.02417624663,-944.76561212802
491,1.26022367079894,1.43597505997932,0,0,0.025,0.0560936334443921,0,0.119961286860506,0.0695881214538425,1,8,1.11090733263845,0,1,10,0,-10196.9532874059,-9248.93506243458,-948.018224971302
501,1.26022367079894,1.43597505997932,0,0,0.025,0.0560936334443921,0,0.119961286860506,0.0695881214538425,1,8,1.11090733263845,0,1,10,0,-10169.3612429046,-9225.33551279358,-944.025730111052
