samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,exponential_waning,posterior_prob,likelihood,prior_prob
1,2.20814191906096,2.37358929768823,0,0,0.025,0.0908121556693056,0,0.111545272148544,0.0818292776310094,1,8,1.90406078788094,0,1,10,0,0,-16736.5742449247,-16013.9058218308,-722.668423093872
11,1.89104931441561,2.03942561983143,0,0,0.025,0.0908121556693056,0,0.119278389264342,0.108416853684631,1,8,1.90406078788094,0,1,10,0,0,-13337.2930600918,-12666.5971281147,-670.695931977099
21,1.89104931441561,1.8814679843712,0,0,0.025,0.13245691993298,0,0.119278389264342,0.0696874424477546,1,8,1.900552507214,0,1,10,0,0,-12589.1815768476,-11920.8691313097,-668.312445537871
31,1.89104931441561,1.8814292052149,0,0,0.025,0.13245691993298,0,0.119278389264342,0.0696874424477546,1,8,1.900552507214,0,1,10,0,0,-12362.3161878524,-11650.4615889485,-711.854598903931
41,1.85054477157847,1.76121200274958,0,0,0.025,0.13245691993298,0,0.0962618873739784,0.113136989574994,1,8,1.900552507214,0,1,10,0,0,-12041.0014404776,-11313.7197859767,-727.281654500845
51,1.85054477157847,1.76121200274958,0,0,0.025,0.13245691993298,0,0.0962618873739784,0.0862543466270213,1,8,1.900552507214,0,1,10,0,0,-11904.9523562959,-11163.1848994881,-741.7674568078
61,1.85054477157847,1.37442744371502,0,0,0.025,0.101910716408731,0,0.0962618873739784,0.0862543466270213,1,8,1.59368038677739,0,1,10,0,0,-11324.4600258144,-10568.5216836656,-755.938342148836
71,1.85054477157847,1.37442744371502,0,0,0.025,0.101910716408731,0,0.0962618873739784,0.0862543466270213,1,8,1.59368038677739,0,1,10,0,0,-11250.1625228015,-10499.6106760148,-750.551846786718
81,1.85054477157847,1.37442744371502,0,0,0.025,0.101910716408731,0,0.0962618873739784,0.0862543466270213,1,8,1.59368038677739,0,1,10,0,0,-11150.6867897701,-10385.4150036333,-765.271786136781
91,1.85054477157847,1.0721609747525,0,0,0.025,0.101910716408731,0,0.0962618873739784,0.0862543466270213,1,8,1.59368038677739,0,1,10,0,0,-11088.2856259011,-10315.9527214671,-772.332904433999
101,1.85054477157847,1.0721609747525,0,0,0.025,0.101910716408731,0,0.0962618873739784,0.0862543466270213,1,8,1.59368038677739,0,1,10,0,0,-11015.3840982466,-10231.0902257055,-784.293872541067
111,1.85054477157847,1.0721609747525,0,0,0.025,0.101910716408731,0,0.0962618873739784,0.0769263130986768,1,8,1.59368038677739,0,1,10,0,0,-10929.7531155241,-10139.3370886418,-790.416026882348
121,1.85054477157847,0.762462228488211,0,0,0.025,0.101910716408731,0,0.0962618873739784,0.0769263130986768,1,8,1.59368038677739,0,1,10,0,0,-10912.5533089429,-10108.6273906636,-803.925918279317
131,1.85054477157847,0.762462228488211,0,0,0.025,0.101910716408731,0,0.0962618873739784,0.0769263130986768,1,8,1.59368038677739,0,1,10,0,0,-10910.8236297712,-10108.9482370134,-801.875392757771
141,1.85054477157847,0.762462228488211,0,0,0.025,0.103924274306337,0,0.0962618873739784,0.0769263130986768,1,8,1.44177222796451,0,1,10,0,0,-10683.4611718188,-9870.78331023725,-812.677861581545
151,1.85054477157847,0.762462228488211,0,0,0.025,0.103924274306337,0,0.0962618873739784,0.0743846807237746,1,8,1.44177222796451,0,1,10,0,0,-10672.3999884801,-9843.9025562741,-828.497432206011
161,1.85054477157847,0.762462228488211,0,0,0.025,0.103924274306337,0,0.0962618873739784,0.0743846807237746,1,8,1.44177222796451,0,1,10,0,0,-10634.1606773805,-9807.7950257427,-826.365651637778
171,1.85054477157847,0.762462228488211,0,0,0.025,0.103924274306337,0,0.0962618873739784,0.0743846807237746,1,8,1.44177222796451,0,1,10,0,0,-10621.1938829586,-9795.85596729461,-825.337915664002
181,1.85054477157847,0.762462228488211,0,0,0.025,0.103924274306337,0,0.0962618873739784,0.0743846807237746,1,8,1.44177222796451,0,1,10,0,0,-10597.4779434429,-9762.77112036487,-834.706823078072
191,1.85054477157847,0.762462228488211,0,0,0.025,0.103924274306337,0,0.0962618873739784,0.0743846807237746,1,8,1.44177222796451,0,1,10,0,0,-10577.9381780301,-9748.95198109025,-828.986196939871
201,1.85054477157847,0.762462228488211,0,0,0.025,0.103924274306337,0,0.0962618873739784,0.0743846807237746,1,8,1.44177222796451,0,1,10,0,0,-10568.9222631291,-9745.38673883138,-823.535524297743
211,1.85054477157847,0.70536007339016,0,0,0.025,0.103924274306337,0,0.0962618873739784,0.080923109779136,1,8,1.41361741617611,0,1,10,0,0,-10537.351355271,-9690.78315085272,-846.56820441832
221,1.85054477157847,0.70536007339016,0,0,0.025,0.103924274306337,0,0.0962618873739784,0.080923109779136,1,8,1.41361741617611,0,1,10,0,0,-10526.7198523615,-9670.49330151634,-856.226550845135
231,1.85054477157847,0.70536007339016,0,0,0.025,0.103924274306337,0,0.0962618873739784,0.080923109779136,1,8,1.41361741617611,0,1,10,0,0,-10520.2391753187,-9661.93752011067,-858.301655208067
241,1.85054477157847,0.70536007339016,0,0,0.025,0.10724566073555,0,0.0962618873739784,0.080923109779136,1,8,1.41361741617611,0,1,10,0,0,-10512.3989316389,-9642.29371477716,-870.10521686173
251,1.85054477157847,0.70536007339016,0,0,0.025,0.10724566073555,0,0.0948274486288683,0.080923109779136,1,8,1.41361741617611,0,1,10,0,0,-10497.8492970464,-9628.08431624646,-869.764980799937
261,1.85054477157847,0.70536007339016,0,0,0.025,0.10724566073555,0,0.0948274486288683,0.080923109779136,1,8,1.03376020561488,0,1,10,0,0,-10325.5429723514,-9451.36879385735,-874.174178494021
271,1.85054477157847,0.788631635633153,0,0,0.025,0.10724566073555,0,0.0948274486288683,0.080923109779136,1,8,1.03376020561488,0,1,10,0,0,-10289.6307737961,-9406.88898044296,-882.741793353176
281,1.85054477157847,0.788631635633153,0,0,0.025,0.10724566073555,0,0.0948274486288683,0.080923109779136,1,8,1.03376020561488,0,1,10,0,0,-10276.4356245745,-9392.87802613029,-883.557598444229
291,1.85054477157847,0.788631635633153,0,0,0.025,0.10724566073555,0,0.0948274486288683,0.0855272414045563,1,8,1.03990793025607,0,1,10,0,0,-10248.8251270088,-9370.74330921774,-878.081817791071
301,1.85054477157847,0.788631635633153,0,0,0.025,0.10724566073555,0,0.0948274486288683,0.085127032051427,1,8,1.03990793025607,0,1,10,0,0,-10217.4687089609,-9337.57996172323,-879.888747237636
311,1.85054477157847,0.777351337598888,0,0,0.025,0.10724566073555,0,0.0948274486288683,0.085127032051427,1,8,1.03990793025607,0,1,10,0,0,-10194.2977271613,-9304.95256986208,-889.345157299237
321,1.85054477157847,0.777351337598888,0,0,0.025,0.10724566073555,0,0.0948274486288683,0.085127032051427,1,8,1.03990793025607,0,1,10,0,0,-10187.3766212615,-9294.60338443853,-892.773236822919
331,1.85054477157847,0.777351337598888,0,0,0.025,0.10724566073555,0,0.0948274486288683,0.085127032051427,1,8,1.03990793025607,0,1,10,0,0,-10172.5750400799,-9280.39677093453,-892.178269145325
341,1.85054477157847,0.777351337598888,0,0,0.025,0.10724566073555,0,0.0948274486288683,0.0836205160136026,1,8,1.03990793025607,0,1,10,0,0,-10175.5830414918,-9273.88940586596,-901.693635625832
351,1.85054477157847,0.777351337598888,0,0,0.025,0.10724566073555,0,0.0948274486288683,0.0836205160136026,1,8,1.03990793025607,0,1,10,0,0,-10166.9320908593,-9270.54343243406,-896.388658425257
