samp_no,boost_long,boost_short,boost_delay,antigenic_seniority,wane_long,wane_short,wane_maternal,cr_long,cr_short,min_measurement,max_measurement,obs_sd,fp_rate,infection_model_prior_shape1,infection_model_prior_shape2,antibody_dependent_boosting,posterior_prob,likelihood,prior_prob
1,2.16589302953932,2.57044576007238,0,0,0.025,0.0910278452452719,0,0.128259464534458,0.0735008149543241,1,8,1.78056043895347,0,1,10,0,-11668.5354450303,-11319.7627111095,-348.772733920752
6,2.16589302953932,2.57044576007238,0,0,0.025,0.0910278452452719,0,0.169549829644702,0.0735008149543241,1,8,1.78056043895347,0,1,10,0,-10982.7602452903,-10642.5316230085,-340.228622281863
11,2.13554205386731,2.57044576007238,0,0,0.025,0.0910278452452719,0,0.169549829644702,0.115337842088256,1,8,1.78056043895347,0,1,10,0,-10443.3397154625,-10097.5808156251,-345.758899837342
16,2.13554205386731,2.54843566507907,0,0,0.025,0.0910278452452719,0,0.169549829644702,0.115337842088256,1,8,1.78056043895347,0,1,10,0,-9765.81367497144,-9429.9090596935,-335.904615277941
21,1.76143075329661,2.54843566507907,0,0,0.025,0.0910278452452719,0,0.169549829644702,0.115337842088256,1,8,1.78056043895347,0,1,10,0,-9505.35882795528,-9177.97574125058,-327.383086704703
26,1.76143075329661,2.54843566507907,0,0,0.025,0.0910278452452719,0,0.123692281480877,0.160675088779633,1,8,1.78056043895347,0,1,10,0,-9194.4998161277,-8866.11810473141,-328.381711396287
31,1.76143075329661,2.34420519410509,0,0,0.025,0.0910278452452719,0,0.123692281480877,0.160675088779633,1,8,1.78056043895347,0,1,10,0,-9051.79826597293,-8719.59934750228,-332.198918470649
36,1.76143075329661,2.34420519410509,0,0,0.025,0.113326891696079,0,0.119939610186834,0.160675088779633,1,8,1.78056043895347,0,1,10,0,-8949.90171766418,-8622.89526209528,-327.006455568892
41,1.76143075329661,2.04734753939516,0,0,0.025,0.113326891696079,0,0.119939610186834,0.160675088779633,1,8,1.78056043895347,0,1,10,0,-8749.23123771208,-8427.88033447744,-321.350903234633
46,1.76143075329661,2.04734753939516,0,0,0.025,0.113326891696079,0,0.119939610186834,0.128926099391335,1,8,1.78056043895347,0,1,10,0,-8613.01974378224,-8280.69116278496,-332.328580997284
51,1.76143075329661,1.72518779557176,0,0,0.025,0.113326891696079,0,0.0912201663651026,0.128926099391335,1,8,1.78056043895347,0,1,10,0,-8558.23648840531,-8226.31301452396,-331.923473881355
56,1.73182275123408,1.72518779557176,0,0,0.025,0.113326891696079,0,0.0912201663651026,0.154822596458974,1,8,1.78056043895347,0,1,10,0,-8445.55144590085,-8126.90023001956,-318.651215881287
61,1.73182275123408,1.72518779557176,0,0,0.025,0.113326891696079,0,0.0912201663651026,0.154822596458974,1,8,1.78056043895347,0,1,10,0,-8418.28240019704,-8100.83346513165,-317.448935065389
66,1.73182275123408,1.51379274927752,0,0,0.025,0.113326891696079,0,0.0912201663651026,0.196969031784581,1,8,1.78056043895347,0,1,10,0,-8409.65821010543,-8096.24646118842,-313.411748917007
71,1.73182275123408,1.51379274927752,0,0,0.025,0.113326891696079,0,0.0912201663651026,0.148559979226085,1,8,1.78056043895347,0,1,10,0,-8383.59096251363,-8067.57425890454,-316.016703609082
76,1.73182275123408,1.51379274927752,0,0,0.025,0.113326891696079,0,0.0912201663651026,0.148559979226085,1,8,1.78056043895347,0,1,10,0,-8320.82562727175,-8010.92645004005,-309.899177231707
81,1.73182275123408,1.51379274927752,0,0,0.025,0.113326891696079,0,0.0912201663651026,0.148559979226085,1,8,1.78056043895347,0,1,10,0,-8320.14218929717,-8011.28794420467,-308.854245092502
86,1.73182275123408,1.33719336165493,0,0,0.025,0.113326891696079,0,0.0912201663651026,0.148559979226085,1,8,1.78056043895347,0,1,10,0,-8303.23144030401,-7990.31831266223,-312.913127641775
91,1.73182275123408,1.33719336165493,0,0,0.025,0.113326891696079,0,0.0912201663651026,0.138489043800095,1,8,1.78056043895347,0,1,10,0,-8248.70927740217,-7932.71550203114,-315.993775371029
96,1.73182275123408,1.33719336165493,0,0,0.025,0.113326891696079,0,0.0912201663651026,0.138489043800095,1,8,1.78056043895347,0,1,10,0,-8246.97382306349,-7932.66180626647,-314.312016797016
101,1.73182275123408,1.33719336165493,0,0,0.025,0.113326891696079,0,0.0912201663651026,0.134878631430854,1,8,1.78056043895347,0,1,10,0,-8234.03299220956,-7919.79833804665,-314.234654162909
106,1.73182275123408,1.33719336165493,0,0,0.025,0.0889529790781019,0,0.0912201663651026,0.134878631430854,1,8,1.78056043895347,0,1,10,0,-8210.2140651635,-7889.82156168657,-320.392503476931
111,1.73182275123408,1.33719336165493,0,0,0.025,0.0889529790781019,0,0.0912201663651026,0.139339769760303,1,8,1.31972596410266,0,1,10,0,-7887.98145221797,-7564.51247470351,-323.468977514461
116,1.73182275123408,1.33719336165493,0,0,0.025,0.0889529790781019,0,0.0912201663651026,0.152880820578246,1,8,1.31972596410266,0,1,10,0,-7870.68289495826,-7544.816022171,-325.866872787259
121,1.73182275123408,1.33719336165493,0,0,0.025,0.0889529790781019,0,0.0912201663651026,0.152880820578246,1,8,1.31972596410266,0,1,10,0,-7811.79551956515,-7486.70332034389,-325.092199221263
126,1.73182275123408,1.33719336165493,0,0,0.025,0.0889529790781019,0,0.0912201663651026,0.152880820578246,1,8,1.31972596410266,0,1,10,0,-7810.72289829683,-7484.43444831733,-326.288449979495
131,1.73182275123408,1.33719336165493,0,0,0.025,0.0889529790781019,0,0.0912201663651026,0.152880820578246,1,8,1.31972596410266,0,1,10,0,-7809.64867403536,-7479.91366952452,-329.735004510843
136,1.73182275123408,1.33719336165493,0,0,0.025,0.0889529790781019,0,0.0912201663651026,0.152880820578246,1,8,1.31972596410266,0,1,10,0,-7792.15174631024,-7456.57414078286,-335.577605527379
141,1.73182275123408,1.33719336165493,0,0,0.025,0.0889529790781019,0,0.0912201663651026,0.152880820578246,1,8,1.31972596410266,0,1,10,0,-7773.46160595738,-7435.96544761016,-337.496158347223
146,1.73182275123408,1.33719336165493,0,0,0.025,0.0889529790781019,0,0.0912201663651026,0.150895265549472,1,8,1.20619960231462,0,1,10,0,-7744.71237192462,-7405.51886928771,-339.19350263691
151,1.73182275123408,1.01276738635628,0,0,0.025,0.0889529790781019,0,0.0912201663651026,0.150895265549472,1,8,1.20619960231462,0,1,10,0,-7733.78715932779,-7394.59365669088,-339.19350263691
156,1.73182275123408,1.01276738635628,0,0,0.025,0.0889529790781019,0,0.0912201663651026,0.150895265549472,1,8,1.20619960231462,0,1,10,0,-7723.22820748664,-7382.42526693729,-340.802940549344
161,1.73182275123408,1.01276738635628,0,0,0.025,0.0889529790781019,0,0.0912201663651026,0.150895265549472,1,8,1.20619960231462,0,1,10,0,-7720.34390513725,-7380.22803001717,-340.115875120082
166,1.73182275123408,1.01276738635628,0,0,0.025,0.0889529790781019,0,0.0912201663651026,0.150895265549472,1,8,1.20619960231462,0,1,10,0,-7711.43171184583,-7365.93009140233,-345.501620443505
171,1.73182275123408,1.01276738635628,0,0,0.025,0.0889529790781019,0,0.0912201663651026,0.150895265549472,1,8,1.20619960231462,0,1,10,0,-7711.43171184583,-7365.93009140233,-345.501620443505
176,1.73182275123408,1.01276738635628,0,0,0.025,0.0889529790781019,0,0.0912201663651026,0.150895265549472,1,8,1.20619960231462,0,1,10,0,-7705.39600192957,-7361.54200439518,-343.853997534388
181,1.73182275123408,1.01276738635628,0,0,0.025,0.0889529790781019,0,0.0912201663651026,0.144357456103049,1,8,1.20619960231462,0,1,10,0,-7700.16648209427,-7353.9360954923,-346.230386601966
186,1.73182275123408,1.01276738635628,0,0,0.025,0.0889529790781019,0,0.0912201663651026,0.144357456103049,1,8,1.20619960231462,0,1,10,0,-7691.57085850711,-7340.0996634519,-351.471195055209
191,1.73182275123408,1.01276738635628,0,0,0.025,0.0889529790781019,0,0.0912201663651026,0.144357456103049,1,8,1.20619960231462,0,1,10,0,-7689.63959390748,-7339.79981567143,-349.839778236056
196,1.73182275123408,0.932406364879693,0,0,0.025,0.0889529790781019,0,0.0912201663651026,0.144357456103049,1,8,1.20619960231462,0,1,10,0,-7680.86066466364,-7328.33012315288,-352.530541510756
201,1.73182275123408,0.932406364879693,0,0,0.025,0.0889529790781019,0,0.0912201663651026,0.144357456103049,1,8,1.20619960231462,0,1,10,0,-7668.54952225356,-7312.09433927342,-356.455182980143
206,1.73182275123408,0.932406364879693,0,0,0.025,0.0889529790781019,0,0.0912201663651026,0.144357456103049,1,8,1.20619960231462,0,1,10,0,-7657.93336813314,-7299.74291839249,-358.190449740648
211,1.73182275123408,0.932406364879693,0,0,0.025,0.0889529790781019,0,0.0912201663651026,0.144357456103049,1,8,1.20619960231462,0,1,10,0,-7657.52323012905,-7297.34955786963,-360.173672259418
216,1.73182275123408,0.932406364879693,0,0,0.025,0.0889529790781019,0,0.0912201663651026,0.144357456103049,1,8,1.20619960231462,0,1,10,0,-7651.50707881665,-7287.09930005264,-364.407778764016
221,1.73182275123408,0.918380222102414,0,0,0.025,0.083080591401263,0,0.0912201663651026,0.144357456103049,1,8,1.20619960231462,0,1,10,0,-7648.45674829841,-7281.00444709668,-367.452301201739
226,1.73182275123408,0.918380222102414,0,0,0.025,0.083080591401263,0,0.0912201663651026,0.172622562007861,1,8,1.20619960231462,0,1,10,0,-7644.48991912302,-7272.24805792543,-372.241861197585
231,1.73182275123408,0.918380222102414,0,0,0.025,0.0819197347758582,0,0.0912201663651026,0.172622562007861,1,8,1.20619960231462,0,1,10,0,-7623.27540830675,-7247.10959553287,-376.165812773879
236,1.73182275123408,0.918380222102414,0,0,0.025,0.0819197347758582,0,0.0912201663651026,0.157374111424157,1,8,1.20619960231462,0,1,10,0,-7617.83958672574,-7243.39017785582,-374.449408869925
241,1.73182275123408,0.829673877165691,0,0,0.025,0.0819197347758582,0,0.0912201663651026,0.157374111424157,1,8,1.20619960231462,0,1,10,0,-7616.56209857665,-7241.86849274622,-374.693605830437
246,1.73182275123408,0.829673877165691,0,0,0.025,0.0819197347758582,0,0.0912201663651026,0.157374111424157,1,8,1.20619960231462,0,1,10,0,-7616.56209857665,-7241.86849274622,-374.693605830437
251,1.73182275123408,0.829673877165691,0,0,0.025,0.0819197347758582,0,0.0912201663651026,0.142607930356741,1,8,1.20619960231462,0,1,10,0,-7604.02737471277,-7229.06714021908,-374.960234493691
256,1.73182275123408,0.86773060147836,0,0,0.025,0.0819197347758582,0,0.0912201663651026,0.142607930356741,1,8,1.20619960231462,0,1,10,0,-7590.1003455102,-7219.72934087436,-370.371004635847
261,1.73182275123408,0.86773060147836,0,0,0.025,0.079572453692339,0,0.0912201663651026,0.142607930356741,1,8,1.20619960231462,0,1,10,0,-7585.42044018137,-7215.42825410606,-369.992186075316
